,Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items,coords,Longitude,Latitude
638,SHR Properties LLC,2535-39 W Devon,Devon/Western,2010-09-30T00:00:00.000,122526.0,89162.5,"facade, ceiling, floors, HVAC, tuckpointing, rails, lintels, concrete, signs, doors, windows","[41.9975397, -87.6937105]",-87.6937105,41.9975397
639,Jos Baumgartner Co,933-935 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2010-10-04T00:00:00.000,76122.35,33619.03,"storefront, overhead door,","[41.884063, -87.65104029999999]",-87.65104029999999,41.884063
640,Concept Laboratories,1400 W Wabansia,North Branch (South),2010-10-19T00:00:00.000,44447.03,22223.52,"lighting, HVAC, drop ceiling, flooring, facade, security, electrical","[41.91369359999999, -87.66303719999999]",-87.66303719999999,41.91369359999999
641,PKP Associates LTD Gabriel Enviornmental,1421 N Elston,North Branch (South),2010-10-19T00:00:00.000,85161.11,44007.36,geothermal systems,"[41.9078614, -87.6599998]",-87.6599998,41.9078614
642,Westhaven Community Coin Laundry,2355 W Washington,Central West,2010-10-19T00:00:00.000,113954.0,85465.5,"Replace boiler, air system","[41.882835, -87.68624679999999]",-87.68624679999999,41.882835
643,Francisco Flores,6120-24 N Pulaski,Peterson/Pulaski,2010-10-20T00:00:00.000,58877.0,25103.1,"landscape, fencing, roofing, paving, bathrooms","[41.9354446, -87.7469486]",-87.7469486,41.9354446
644,Tel Aviv Kosher Bakery,2944 W Devon,Devon/Western,2010-10-21T00:00:00.000,22053.28,5513.32,,"[41.9976873, -87.7039547]",-87.7039547,41.9976873
645,That's Wassup Bakery and Cafe,2132 S Michigan,Michigan/Cermak,2010-10-22T00:00:00.000,45700.0,22850.0,"new signage, convection oven, tile, hood ventilation, sinks, counters, plumbing, drywall, electrical, emergency lights, shelves","[41.87841, -87.62467199999999]",-87.62467199999999,41.87841
646,Kesher Stam Inc,2817 W Touhy,Touhy/Western,2010-10-28T00:00:00.000,149391.8,74695.9,"build out,","[42.011822, -87.70033900000001]",-87.70033900000001,42.011822
647,M Henry Bistro,1133-35 W Granville,Hollywood/Sheridan,2010-10-28T00:00:00.000,299982.86,149991.0,"restaurant build-out, facade, signage, landscaping outdoor diner.","[41.9856417, -87.66908110000001]",-87.66908110000001,41.9856417
648,Bumper City,821 N Cicero,Northwest Industrial Corridor,2010-10-29T00:00:00.000,10794.97,5397.0,"tuckpointing bathrooms, iron fence, parking lot paving, sidewalk, stair and stoop from parking lot","[41.77773560000001, -87.7932107]",-87.7932107,41.77773560000001
649,Chef Luciano Inc,43-51 E Cermak,Michigan/Cermak,2010-10-29T00:00:00.000,282350.55,141175.0,"facade, storefront, roof, signage, electrical, floor, carpentry","[41.8526738, -87.6252848]",-87.6252848,41.8526738
650,Chester Kiercul,4250 N Milwaukee,Portage Park,2010-10-29T00:00:00.000,8450.0,4225.0,Storefront,"[41.9582583, -87.7526716]",-87.7526716,41.9582583
651,Imperial Lighting Maintenance Co,4555 N Elston,Lawrence/Pulaski,2010-10-29T00:00:00.000,53203.0,26601.5,Install New Heating and Air Conditioning System,"[41.96393399999999, -87.73359099999999]",-87.73359099999999,41.96393399999999
652,Jewelry Design Ltd,2210 S Halsted,Pilsen,2010-10-29T00:00:00.000,30596.45,22852.5,"Rear porch, deck","[41.8522124, -87.6467217]",-87.6467217,41.8522124
653,State Farm Insurance,5616 W Montrose,West Irving Park,2010-10-29T00:00:00.000,2896.0,2172.0,"awning, aluminum capping, exterior trim","[41.9606092, -87.76805019999999]",-87.76805019999999,41.9606092
654,True Value Hardware,4305-07 N Milwaukee,Portage Park,2010-10-29T00:00:00.000,42075.0,20487.5,"storefront, doors, windows, double door glass panels, brick foundation","[41.9590144, -87.75272919999999]",-87.75272919999999,41.9590144
655,Chicago Turnrite,4459 W Lake,Northwest Industrial Corridor,2010-11-01T00:00:00.000,74945.0,37472.5,Exterior Facad and Roofing,"[41.8859128, -87.7377528]",-87.7377528,41.8859128
656,1375 W Lake St LLC,1375 W Lake,Kinzie Industrial Corridor Industrial Corridor,2010-11-02T00:00:00.000,900000.0,150000.0,parking lot,"[41.8852567, -87.6617234]",-87.6617234,41.8852567
657,Sports Awards,5544 W Armstrong,Elston/Armstrong,2010-11-02T00:00:00.000,11846.0,5923.0,"boiler, roof, signage, windows, parking lot","[41.98482500000001, -87.76632200000002]",-87.76632200000002,41.98482500000001
658,Sports Awards,5544 W Armstrong,Elston/Armstrong,2010-11-03T00:00:00.000,62508.0,29310.92,"boiler, roof, signage, windows, parking lot","[41.98482500000001, -87.76632200000002]",-87.76632200000002,41.98482500000001
659,Irving Park Chiropractic,1923 W Irving Park,Western Ave South,2010-11-04T00:00:00.000,17390.0,9564.5,"Roof repair, downspouts, water damage repair","[41.953953, -87.67720399999999]",-87.67720399999999,41.953953
660,Smitten Boutique LLC,1041 W Madison,Near West,2010-11-04T00:00:00.000,8200.0,5733.75,Rooftop HVAC replacement,"[41.8814453, -87.6540382]",-87.6540382,41.8814453
661,Mox Multisport,738 W Randolph,Near West,2010-11-08T00:00:00.000,6569.24,3284.62,"basement remodel, bathrooms, lighting, signage","[41.8846047, -87.64477939999999]",-87.64477939999999,41.8846047
662,Southside Health Food Inc,8949 S Commercial,Commercial Avenue,2010-11-29T00:00:00.000,240000.0,17000.0,"storefront, tuckpointing, signage, drywall, ceiling, carpeting, fixtures and tile in bathroom","[41.7322724, -87.55114549999999]",-87.55114549999999,41.7322724
663,Reggies Bar & Grill,2105-09 S State,Michigan/Cermak,2010-12-08T00:00:00.000,90000.0,45000.0,"masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?","[41.8539813, -87.62675589999999]",-87.62675589999999,41.8539813
664,Pizza Forte,2210 N California,Fullerton/Milwaukee,2010-12-09T00:00:00.000,16800.0,7983.13,Complete Buildout,"[41.922117, -87.6974707]",-87.6974707,41.922117
665,Beyond Design Inc,4521 N Ravenswood,Ravenswood,2010-12-22T00:00:00.000,42235.07,21117.54,Landscaping/Lighting,"[41.963914, -87.673585]",-87.673585,41.963914
666,Reb Steele Corporation,4556 W Grand,Northwest Industrial Corridor,2010-12-23T00:00:00.000,28633.2,14316.6,"lighting retrofit,","[41.8910645, -87.675161]",-87.675161,41.8910645
667,Ken Sakamoto DDS PC,3939 N Lincoln,Western Ave South,2010-12-27T00:00:00.000,7884.0,5913.0,HVAC,"[41.953503, -87.677894]",-87.677894,41.953503
668,Crystal's Unisex,1850 W 47th,47th/Ashland,2010-12-28T00:00:00.000,30000.0,22500.0,"storefront, gutters, insulation, siding, windows, doors, stucco, roofing","[41.8086373, -87.6718437]",-87.6718437,41.8086373
669,Brad's Sales Company,6135 S Nottingham,Harlem Industrial,2011-01-06T00:00:00.000,147200.0,73600.0,"parking lot paving, iron fencing, installtion of catch basins, planting trees and bushes","[41.8074687, -87.70740889999999]",-87.70740889999999,41.8074687
670,Cook Au Vin Inc,2569 N Milwaukee,Fullerton/Milwaukee,2011-01-06T00:00:00.000,46735.5,30970.5,"inerior renovations, bathroom, electrical, countertop, floor","[41.922557, -87.674069]",-87.674069,41.922557
671,Orchestra Hall Recording Studio,2341 N Milwaukee,Fullerton/Milwaukee,2011-01-06T00:00:00.000,8800.0,6600.0,"roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows","[41.92414670000001, -87.69838779999999]",-87.69838779999999,41.92414670000001
672,Concept Laboratories,1400 W Wabansia,North Branch (South),2011-01-07T00:00:00.000,34500.0,11465.71,"lighting, HVAC, drop ceiling, flooring, facade, security, electrical","[41.91369359999999, -87.66303719999999]",-87.66303719999999,41.91369359999999
673,Robbins Management LLC,4401 N Ravenswood,Ravenswood,2011-01-07T00:00:00.000,60700.0,30350.0,Windows,"[41.961763, -87.67353]",-87.67353,41.961763
674,Workforce Language Services LLC,"2934 N Milwaukee Ave, Suite C",Fullerton/Milwaukee,2011-01-07T00:00:00.000,65195.98,48896.99,office buildout,"[41.9346366, -87.7167237]",-87.7167237,41.9346366
675,Midwest Screw Products,3523 N Kenton,Portage Park,2011-01-11T00:00:00.000,74848.5,37424.25,"roofing, security system, different area of roofing,","[41.9452942, -87.7419906]",-87.7419906,41.9452942
676,Precision Plating Company,4123 W Peterson,Peterson/Pulaski,2011-01-11T00:00:00.000,99072.0,49536.0,"New Flooring. New Lighting New Doors Support Beams Repair Roof Window Covers Masonary, Tuck Pointing and Foundation Repair Building on Rogers","[41.9897293, -87.7326133]",-87.7326133,41.9897293
677,Olympia Travel & Tax Services Inc,1904 W 47th,47th/Ashland,2011-01-19T00:00:00.000,42836.0,32127.0,"parking lot paving, fence, roof, floors, walls, interior","[41.8087391, -87.6726384]",-87.6726384,41.8087391
678,New Age Chicago Furniture Co,4236-40 S Cottage Grove,43rd/Cottage Grove,2011-01-25T00:00:00.000,46000.0,23000.0,"ceilings, roof, dry wall, floors","[41.8174563, -87.6069622]",-87.6069622,41.8174563
679,Inspired Interiors Inc,4124 N Lincoln,Western Ave South,2011-01-28T00:00:00.000,29394.38,22045.79,"Interior, storefront","[41.889775, -87.6290987]",-87.6290987,41.889775
680,Apartment Vigilantes LLC,4707 N Broadway,Lawrence/Broadway,2011-01-31T00:00:00.000,64977.0,48089.0,"office build-out, lighting, flooring, bathroom, wiring","[41.9676301, -87.65861389999999]",-87.65861389999999,41.9676301
681,Zberry Inc,1368 1/2 E 53rd,53rd Street,2011-01-31T00:00:00.000,43850.0,32887.5,"storefront, HVAC, electrical, plumbing, floor, signage, awning","[41.7918199, -87.57977000000001]",-87.57977000000001,41.7918199
682,Grota Restaurant,3108-3112 N Central,Belmont/Central,2011-02-01T00:00:00.000,211500.0,105750.0,"windows, signage, awning, lighting, tuckpointing, floors, HVAC","[41.937228, -87.766761]",-87.766761,41.937228
683,Marc Barney,4200 W Wrightwood,Pulaski Industrial,2011-02-04T00:00:00.000,19600.0,14700.0,"flashing, downspouts, fence, cover windows, redirect electric pipes","[41.7913459, -87.7280098]",-87.7280098,41.7913459
684,Richard Romanow,4644 N Lincoln,Western Ave North,2011-02-04T00:00:00.000,112057.0,53090.0,"Electrical, HVAC, walls,floors,tuck pointing, pave parking lot,alarm,bathroom","[41.9660796, -87.6873117]",-87.6873117,41.9660796
685,ATK Foods,1143 W Lake,Kinzie Industrial Corridor Industrial Corridor,2011-02-07T00:00:00.000,84398.0,42199.0,"Hallway & storage area repairs, refrigeration enhancements","[41.88526520000001, -87.6561188]",-87.6561188,41.88526520000001
686,ABC Business Forms,5654 N Elston,Elston/Armstrong,2011-02-09T00:00:00.000,6265.0,3132.5,"roof, windows, signage, roof, tuckpointing, paint doors, storefront","[41.98390819999999, -87.76672839999999]",-87.76672839999999,41.98390819999999
687,Frank A Edmunds & Co Inc,6111 S Sayre,Harlem Industrial,2011-02-10T00:00:00.000,16244.0,8122.0,"new windows, doors, tuckpointing","[41.780819, -87.795592]",-87.795592,41.780819
688,Baja Foods LLC,636 W Root,Stockyard Annex,2011-02-16T00:00:00.000,74516.5,37258.25,"paving, boiler","[41.8193578, -87.6425429]",-87.6425429,41.8193578
689,Hank Tajkowski,4606 N Western,Western Ave North,2011-02-17T00:00:00.000,53100.0,39187.0,Roofing,"[41.9651283, -87.68917359999999]",-87.68917359999999,41.9651283
690,Joseph P Minogue,4956-58 N Milwaukee,Jefferson Park,2011-02-17T00:00:00.000,30357.29,22767.97,"facade, brickwork, chimney","[41.9709873, -87.763678]",-87.763678,41.9709873
691,State Farm Insurance,4465 N Milwaukee,Jefferson Park,2011-02-17T00:00:00.000,8212.0,4106.0,"HVAC, door","[41.9622693, -87.7556633]",-87.7556633,41.9622693
692,Total Image Salon & Spa,4452 N Western,Western Ave North,2011-02-17T00:00:00.000,76103.43,38051.72,Complete Renovation,"[41.9628681, -87.68892350000002]",-87.68892350000002,41.9628681
693,Barkaat Foods LLC,3810 S Halsted,35th/Halsted,2011-02-18T00:00:00.000,154000.0,77000.0,Full rehab,"[41.8250633, -87.6463589]",-87.6463589,41.8250633
694,Fashion Corner,1658 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,2011-02-18T00:00:00.000,37700.0,18850.0,"HVAC, doors, water heaters, plumbing, insulation, electrical, lighting, walls, ceiling","[41.7372005, -87.5826122]",-87.5826122,41.7372005
695,Reggies Bar & Grill,2105-09 S State,Michigan/Cermak,2011-02-19T00:00:00.000,109850.0,20650.0,"masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?","[41.8539813, -87.62675589999999]",-87.62675589999999,41.8539813
696,Law Offices of McCready,10008 S Western,Western Avenue/Rock Island,2011-02-23T00:00:00.000,19150.63,9575.32,"roof, parking lot, window, doors, insulation, signage, fence","[41.711581, -87.682024]",-87.682024,41.711581
697,Vita Foods Products,2222 W Lake,Kinzie Industrial Corridor Industrial Corridor,2011-02-24T00:00:00.000,84334.1,47379.09,"roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer","[41.885117, -87.683234]",-87.683234,41.885117
698,Oriental Kitchen Corp,223 N Justine,Kinzie Industrial Corridor Industrial Corridor,2011-02-28T00:00:00.000,17612.0,8806.0,"redesign rooms, reallocate freexer and cooler, roofing","[41.8860794, -87.6651722]",-87.6651722,41.8860794
699,Arturo's TV Service,1742 W 47th,47th/Ashland,2011-03-01T00:00:00.000,35000.0,26250.0,"awnings, roof","[41.80883, -87.669128]",-87.669128,41.80883
700,M & M Box Partition Co,4141 W Grand,Pulaski Industrial,2011-03-01T00:00:00.000,66341.0,33170.5,"boiler, roof,","[41.9077501, -87.7306545]",-87.7306545,41.9077501
701,P4P-MDW LLC dba Paradise 4 Paws,5262 S Kolmar,Midway Industrial Corridor,2011-03-01T00:00:00.000,61024.7,45768.53,"plumbing, electrical, carpentry, stucco, door mantles, concrete","[41.78677589999999, -87.7521884]",-87.7521884,41.78677589999999
702,Annapurna Fast Food,2608 W Devon,Devon/Western,2011-03-04T00:00:00.000,350000.0,123300.0,Complete Renovation,"[41.9978065, -87.695121]",-87.695121,41.9978065
703,Phoenix Bean LLC,5438 North Broadway,Bryn Mawr/Broadway,2011-03-18T00:00:00.000,6700.0,3350.0,,"[41.9811037, -87.660392]",-87.660392,41.9811037
704,La Parrilla Columbian Steak House,6427 W Irving Park Rd,West Irving Park,2011-03-22T00:00:00.000,84303.0,63227.25,"flooring, build-out, bathrooms, ceilings, storefront, awning, lighting, door, plumbing, electrical, ventilation, security system","[41.9527847, -87.7876679]",-87.7876679,41.9527847
705,Uru-Swati Companies LLC,2601 W Devon,Devon/Western,2011-03-25T00:00:00.000,24000.0,18000.0,,"[41.99749569999999, -87.6957934]",-87.6957934,41.99749569999999
706,Ravenswood Center LLC,4255 N Honore,Ravenswood,2011-03-29T00:00:00.000,302854.37,50000.0,Complete gut rehab,"[41.9594779, -87.67566750000002]",-87.67566750000002,41.9594779
707,Prepare To Win,4445 N Milwaukee,Jefferson Park,2011-03-29T00:00:00.000,143443.0,50000.0,"HVAC, Facade, ADA compliance","[41.96187, -87.7551189]",-87.7551189,41.96187
708,4353 Management LLC,4353 N Western,Western Ave South,2011-03-29T00:00:00.000,31367.0,15683.5,"windows, tuckpointing, masonry,","[41.9610371, -87.68839559999999]",-87.68839559999999,41.9610371
709,Active Roofing Company Inc,855 W Erie,Pilsen,2011-03-29T00:00:00.000,303738.21,150000.0,"Paving, Fencing, Electrical, Graffitt Removal, Exterior Painting, Roofing, Gutters, Downspouts. 1st and 2nd Floor Carpentry, Plumbing, HVAC, Electrical Flooring, Phone/Data, Bathroom Partitions.","[41.8360626, -87.67854729999999]",-87.67854729999999,41.8360626
710,All About Dance,501 W North,Near North,2011-03-29T00:00:00.000,239678.97,150000.0,complete build-out,"[41.9109228, -87.6412215]",-87.6412215,41.9109228
711,Bozena Hadou,4255 & 4257 W Armitage,Armitage/Pulaski,2011-03-29T00:00:00.000,55638.85,41729.14,"Purchase of adjacent lot, sub floor rehab, iron fence","[41.9169331, -87.7337255]",-87.7337255,41.9169331
712,Chgo Coast True Value,6942-44 N Western,Touhy/Western,2011-03-29T00:00:00.000,49500.0,27225.0,"masonry, lintels, landscaping, parking lot paving, stairs, signage, enclose dumpster","[42.008099, -87.690471]",-87.690471,42.008099
713,Chicago Turnrite,4459 W Lake,Northwest Industrial Corridor,2011-03-29T00:00:00.000,275515.0,112528.0,Exterior Facad and Roofing,"[41.8859128, -87.7377528]",-87.7377528,41.8859128
714,Chica's Secret Inc,3227 W Lawrence,Lawrence/Kedzie,2011-03-29T00:00:00.000,151606.0,63507.0,"Interior Renovation, hvac, electrical, storefront, signage","[41.9683522, -87.7095568]",-87.7095568,41.9683522
715,CMJ Medical Enterprises,8507 S Stoney Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,2011-03-29T00:00:00.000,7500.0,5625.0,tuckpointing/masonry,"[41.7402721, -87.5849762]",-87.5849762,41.7402721
716,Drummond Industries Inc,2616 N Cicero,Belmont/Cicero,2011-03-29T00:00:00.000,18494.0,7010.85,"windows, doors, and tuck-pointing","[41.9285132, -87.74687259999999]",-87.74687259999999,41.9285132
717,Drummond Industries Inc,2616 N Cicero,Belmont/Cicero,2011-03-29T00:00:00.000,274083.57,142989.15,"facade, storefront, roof, windows","[41.9285132, -87.74687259999999]",-87.74687259999999,41.9285132
718,Emerald Smoke MMA & Fitness,711 W Grand,River West,2011-03-29T00:00:00.000,162024.8,121518.6,"Inteior renovation: bathrooms, framing, electrical, plumbing, hvac, etc.","[41.891009, -87.6465106]",-87.6465106,41.891009
719,Facade Rebate Project,1763 W 95th,95th/Western,2011-03-29T00:00:00.000,0.0,1703.9,,"[41.720854, -87.667137]",-87.667137,41.720854
720,Harry Kemperas,3251-57 W Bryn Mawr,Lawrence/Kedzie,2011-03-29T00:00:00.000,10846.0,5423.0,"roofing, paving","[41.995845, -88.31844]",-88.31844,41.995845
721,Hemina Patel Insurance State Farm,3837 N Western,Western Ave South,2011-03-29T00:00:00.000,20520.0,15390.0,Green Projects Solar,"[41.9515005, -87.68810210000001]",-87.68810210000001,41.9515005
722,In Ki Lee,3009-17 W Lawrence,Lawrence/Kedzie,2011-03-29T00:00:00.000,30286.15,15143.08,Garage doors,"[41.9682004, -87.7040981]",-87.7040981,41.9682004
723,Inspired Interiors Inc,4124 N Lincoln,Western Ave South,2011-03-29T00:00:00.000,23642.42,17718.32,"Interior, storefront","[41.889775, -87.6290987]",-87.6290987,41.889775
724,La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,2011-03-29T00:00:00.000,215000.0,107500.0,"Purchase of Adjacent Property, iron fencing","[41.6914171, -87.7042281]",-87.7042281,41.6914171
725,La Fiesta Mexican Restaurant,3333 W 111th,111th/Kedzie,2011-03-29T00:00:00.000,19812.0,9906.0,"Purchase of Adjacent Property, iron fencing","[41.6914171, -87.7042281]",-87.7042281,41.6914171
726,Lawrence Dental Group PC,3607 W Lawrence,Lawrence/Kedzie,2011-03-29T00:00:00.000,177994.85,97897.17,"Interior Renovation, floors, doors, walls, ceiling, counters","[41.9682374, -87.71862759999999]",-87.71862759999999,41.9682374
727,Lincoln Square Athletic Club LLC,4662 N Lincoln,Western Ave North,2011-03-29T00:00:00.000,647280.23,100000.0,Complete Renovation,"[41.9664306, -87.6874263]",-87.6874263,41.9664306
728,Lysinski Ltd -Dental,4418 N Milwaukee,Jefferson Park,2011-03-29T00:00:00.000,106700.0,53350.0,Interior Renovations,"[41.9611386, -87.7552913]",-87.7552913,41.9611386
729,Mir Naghavi Facade Rebate Projcet,4661 N Kedzie,Lawrence/Kedzie,2011-03-29T00:00:00.000,0.0,35676.0,,"[41.9664586, -87.7081402]",-87.7081402,41.9664586
730,Nikki Iran Tyler,526 E 43rd,43rd/Cottage Grove,2011-03-29T00:00:00.000,273000.0,150000.0,Complete build out,"[41.8168662, -87.612949]",-87.612949,41.8168662
731,Orchestra Hall Recording Studio,2341 N Milwaukee,Fullerton/Milwaukee,2011-03-29T00:00:00.000,14900.0,11175.0,Heating and cooling,"[41.92414670000001, -87.69838779999999]",-87.69838779999999,41.92414670000001
732,Orchestra Hall Recording Studio,2341 N Milwaukee,Fullerton/Milwaukee,2011-03-29T00:00:00.000,53852.0,40389.0,"roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows","[41.92414670000001, -87.69838779999999]",-87.69838779999999,41.92414670000001
733,Pastorelli Food Products Inc,901 W Lake,Kinzie Industrial Corridor Industrial Corridor,2011-03-29T00:00:00.000,318120.0,139535.0,"cement floor, expansion of production room","[41.885365, -87.65018289999999]",-87.65018289999999,41.885365
734,Paws Naturals,950 W Monroe,Central West,2011-03-29T00:00:00.000,61033.11,30516.56,"signage, drywall, counter, shelving, lighting, concrete floor","[41.8806208, -87.6510297]",-87.6510297,41.8806208
735,Polonia Home Health Care Center,4220 N Milwaukee,Portage Park,2011-03-29T00:00:00.000,34901.07,17988.85,"deck, masonry, electrical, HVAC, interior renovations","[41.9575793, -87.7521429]",-87.7521429,41.9575793
736,Sethness-Greenleaf Inc,1826 N Lorel,Galewood/Armitage Industrial,2011-03-29T00:00:00.000,37467.03,18733.52,"pavng, fencing, warehouse flooring","[41.9141009, -87.7598428]",-87.7598428,41.9141009
737,SN Peck Builders Inc,1647 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2011-03-29T00:00:00.000,11268.0,5634.0,"canopy, lintels, parapet wall, coating on roof, trimming","[41.88667, -87.668876]",-87.668876,41.88667
738,Swing N Putt Youth Golf Foundation,747-749 E 92nd,87th/Cottage Grove,2011-03-29T00:00:00.000,9285.0,6963.75,windows,"[41.7274249, -87.6051954]",-87.6051954,41.7274249
739,Tyler Lane Construction,4200 W Victoria,Peterson/Pulaski,2011-03-29T00:00:00.000,309688.0,150000.0,Replacing the Roof & insulation,"[41.9851934, -87.7337294]",-87.7337294,41.9851934
740,Vita Foods Products,2222 W Lake,Kinzie Industrial Corridor Industrial Corridor,2011-03-29T00:00:00.000,205241.83,102620.92,"roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer","[41.885117, -87.683234]",-87.683234,41.885117
741,Harvest Christian Bookstore,10600 S Western,Western Avenue/Rock Island,2011-03-30T00:00:00.000,49226.24,24613.12,"storefront, awning, ADA ramp, parking lot, fence, landscaping, windows, stairs, signage,","[41.7008157, -87.68164159999999]",-87.68164159999999,41.7008157
742,Doshi Distributers,2323 N Pulaski Rd,Pulaski Industrial,2011-03-31T00:00:00.000,92860.0,51073.0,Front Entrance Door Rear Dock & Parking Camera Tuck Pointing,"[41.9234938, -87.7265812]",-87.7265812,41.9234938
743,Seoul Pharmacy Inc,3757 W Lawrence,Lawrence/Kedzie,2011-03-31T00:00:00.000,78267.36,19566.84,"tuckpointing, HVAC, parking lot, fence, roof, stairway","[41.9681833, -87.7229698]",-87.7229698,41.9681833
744,Body Works Health & Wellness LLC,825 W Monroe,Near West,2011-04-08T00:00:00.000,122680.0,92010.0,Complete Rehab,"[41.88034990000001, -87.6482632]",-87.6482632,41.88034990000001
745,Amour Salon,646-50 E 43rd,43rd/Cottage Grove,2011-04-12T00:00:00.000,6674.13,3337.07,"hvac, fixtures, ceiling","[41.8168938, -87.6096073]",-87.6096073,41.8168938
746,Clark Glass Company,6315 N Clark,Clark/Ridge,2011-04-12T00:00:00.000,10953.0,8214.75,,"[41.996919, -87.66991999999999]",-87.66991999999999,41.996919
747,Usmania Restaurant Inc,2253 W Devon,Devon/Western,2011-04-12T00:00:00.000,95000.0,71250.0,"Replacement of floor for kitchen and bathroom, Wall framing, new bathroom wallsm floor, and light fixtures, Replacement of 3 comp sink","[41.9975916, -87.687066]",-87.687066,41.9975916
748,Ifeta Redzovic,4900 N Lincoln,Western Ave North,2011-04-13T00:00:00.000,39600.0,29700.0,"windows, doors, roofing, siding","[41.97089690000001, -87.6901651]",-87.6901651,41.97089690000001
749,Pastorelli Food Products Inc,901 W Lake,Kinzie Industrial Corridor Industrial Corridor,2011-04-13T00:00:00.000,318120.0,10465.0,"cement floor, expansion of production room","[41.885365, -87.65018289999999]",-87.65018289999999,41.885365
750,Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,2011-04-13T00:00:00.000,2000.0,1500.0,,"[42.0053712, -87.66128929999999]",-87.66128929999999,42.0053712
751,Big City Properties,4318 W Carrol,Northwest Industrial Corridor,2011-04-14T00:00:00.000,19950.0,9975.0,"fire pump feeders, asbestos removal","[41.8870646, -87.7344219]",-87.7344219,41.8870646
752,Manuel Vavoulas,900-08 S California,Midwest,2011-04-15T00:00:00.000,11686.76,8765.07,"HVAC equipment & installation, Labor and materials","[41.8698729, -87.6963919]",-87.6963919,41.8698729
753,ABC Business Forms,5654 N Elston,Elston/Armstrong,2011-04-18T00:00:00.000,11718.0,5859.0,"roof, windows, signage, roof, tuckpointing, paint doors, storefront","[41.98390819999999, -87.76672839999999]",-87.76672839999999,41.98390819999999
754,Sethness-Greenleaf Inc,1826 N Lorel,Galewood/Armitage Industrial,2011-04-18T00:00:00.000,55384.4,27692.2,"fencing, flooring","[41.9141009, -87.7598428]",-87.7598428,41.9141009
755,Ljubo Pejovic,5000-5008 N Sheridan Rd,Hollywood/Sheridan,2011-04-26T00:00:00.000,18372.44,9186.22,Windows,"[41.9736221, -87.65527639999999]",-87.65527639999999,41.9736221
756,Jane Adams Delta Development,4410 N Ravenswood,Ravenswood,2011-04-29T00:00:00.000,7450.0,5587.5,Replacing chain link fence with wrought iron,"[41.9626902, -87.6748284]",-87.6748284,41.9626902
757,Great Chicago Food & Beverage,3149 W Devon,Devon/Western,2011-05-02T00:00:00.000,32100.0,24075.0,,"[41.9971993, -87.70891]",-87.70891,41.9971993
758,ABC Business Forms,5654 N Elston,Elston/Armstrong,2011-05-06T00:00:00.000,7451.0,3725.5,,"[41.98390819999999, -87.76672839999999]",-87.76672839999999,41.98390819999999
759,P4P-MDW LLC dba Paradise 4 Paws,5262 S Kolmar,Midway Industrial Corridor,2011-05-06T00:00:00.000,72308.63,50000.0,"facade, build out, paving, hvac, electric, plumbing","[41.78677589999999, -87.7521884]",-87.7521884,41.78677589999999
760,Plum Productions,1539 W Rosemont,Clark/Ridge,2011-05-09T00:00:00.000,539050.0,114000.0,complete renovation from fire station to productio co.,"[41.9961593, -87.6694828]",-87.6694828,41.9961593
761,Steiner Industries,5801 N Tripp,Peterson/Pulaski,2011-05-09T00:00:00.000,71184.7,35592.35,"electric eye, hvac, roof","[41.9860817, -87.73359010000001]",-87.73359010000001,41.9860817
762,Chicago-Springfield Accounting Service LLC,3848 W Chicago,Chicago/Central Park,2011-05-11T00:00:00.000,20900.0,15675.0,,"[41.8955217, -87.7231048]",-87.7231048,41.8955217
763,Franklin Williams Enterprises Inc,3716 W Chicago,Chicago/Central Park,2011-05-11T00:00:00.000,82811.0,61875.0,,"[41.8955339, -87.71953200000002]",-87.71953200000002,41.8955339
764,Solo Salon PC,1065 West Madison,Near West,2011-05-11T00:00:00.000,78000.0,39000.0,"Flooring, facade cleaning, insulation, ventillation system","[41.8835112, -87.6589592]",-87.6589592,41.8835112
765,The Office LLC,5811 W Chicago,Austin Commercial,2011-05-11T00:00:00.000,138216.0,69108.0,"facade, floor, HVAC, electrical, fence","[41.8945861, -87.7706674]",-87.7706674,41.8945861
766,Selvam Ltd Medical Clinic,946 W 79th,79th Street,2011-05-12T00:00:00.000,25000.0,18750.0,"flooring, windows, cabinets, parking lot, insulations","[41.7507695, -87.6481318]",-87.6481318,41.7507695
767,Farhad Nikamalfard,1358 N Western,Humboldt Park,2011-05-13T00:00:00.000,41661.49,31246.12,,"[41.9065433, -87.68742639999999]",-87.68742639999999,41.9065433
768,Reb Steele Corporation,4556 W Grand,Northwest Industrial Corridor,2011-05-13T00:00:00.000,46970.0,23485.0,,"[41.8910645, -87.675161]",-87.675161,41.8910645
